case_id,category,request_received,response_present,terminal_trace_present,human_notice_present,silent_failure_detected,detection_basis,claim_limit
M05-F06,terminology mismatch,true,true,true,true,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F07,hook version mismatch,true,true,true,true,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F08,unit mismatch,true,true,true,true,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F09,unsupported service,true,true,true,true,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F10,missing score,true,true,true,true,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F11,known diabetes suppression,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F12,recent HbA1c suppression,true,true,true,false,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F13,service unavailable,true,true,true,true,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F14,response timeout,true,true,true,true,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F15,silent failure,true,false,false,false,true,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F16,accessibility defect,true,true,true,true,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
M05-F17,model version mismatch,true,true,true,true,false,"request ledger compared with response, terminal trace, and human notice","local synthetic teaching sandbox only; not FHIR or CDS Hooks conformance, clinical evidence, a clinical alert, threshold acceptance, implementation, or deployment"
