tract_fips,equity_dimension,group_rows,primary_suppressed_cells,complementary_suppressed_cells,total_suppressed_cells,status,rule
25001010500,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010600,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010600,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010600,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010700,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010700,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010700,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010800,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010800,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010800,race_ethnicity,9,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010900,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010900,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001010900,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011002,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011002,primary_language,7,3,0,3,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011002,race_ethnicity,9,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011100,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011100,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011100,race_ethnicity,9,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011200,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011200,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011200,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011300,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011300,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011300,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011400,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011400,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011400,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011500,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011500,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011500,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011600,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011600,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011600,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011700,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011700,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011700,race_ethnicity,9,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011801,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011801,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011801,race_ethnicity,9,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011802,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011802,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001011802,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012001,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012001,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012001,race_ethnicity,9,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012002,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012002,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012002,race_ethnicity,9,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012101,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012101,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012101,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012102,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012102,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012102,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012200,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012200,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012200,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012502,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012502,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012502,race_ethnicity,9,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012601,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012601,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012601,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012602,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012602,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012602,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012700,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012700,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012700,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012800,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012800,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012800,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012900,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012900,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001012900,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013002,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013002,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013002,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013100,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013100,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013100,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013200,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013200,primary_language,7,3,0,3,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013200,race_ethnicity,9,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013300,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013300,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013300,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013400,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013400,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013400,race_ethnicity,9,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013500,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013500,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013500,race_ethnicity,9,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013600,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013600,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013600,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013700,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013700,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013700,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013800,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013800,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013800,race_ethnicity,9,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013900,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013900,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001013900,race_ethnicity,9,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014002,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014002,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014002,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014100,disability_status,3,3,0,3,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014100,primary_language,7,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014100,race_ethnicity,9,9,0,9,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014300,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014300,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014300,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014402,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014402,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014402,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014500,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014500,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014500,race_ethnicity,9,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014600,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014600,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014600,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014700,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014700,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014700,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014800,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014800,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014800,race_ethnicity,9,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014900,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014900,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001014900,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001015001,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001015001,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001015001,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001015002,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001015002,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001015002,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001015100,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001015100,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001015100,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001015200,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001015200,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001015200,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001015300,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001015300,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25001015300,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900100,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900100,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900100,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900200,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900200,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900200,race_ethnicity,9,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900300,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900300,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900300,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900400,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900400,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900400,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900500,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900500,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900500,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900600,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900600,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900600,race_ethnicity,9,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900700,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900700,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900700,race_ethnicity,9,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900800,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900800,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900800,race_ethnicity,9,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900900,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900900,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003900900,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003901100,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003901100,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003901100,race_ethnicity,9,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003911100,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003911100,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003911100,race_ethnicity,9,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003912100,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003912100,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003912100,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003913100,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003913100,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003913100,race_ethnicity,9,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003914100,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003914100,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003914100,race_ethnicity,9,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003920101,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003920101,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003920101,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003920102,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003920102,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003920102,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003921300,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003921300,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003921300,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003921400,disability_status,3,2,0,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003921400,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003921400,race_ethnicity,9,8,0,8,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003921500,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003921500,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003921500,race_ethnicity,9,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003922100,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003922100,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003922100,race_ethnicity,9,8,0,8,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003922200,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003922200,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003922200,race_ethnicity,9,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003922300,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003922300,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003922300,race_ethnicity,9,8,0,8,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003923100,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003923100,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003923100,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003924100,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003924100,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003924100,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003925101,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003925101,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003925101,race_ethnicity,9,8,0,8,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003925102,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003925102,primary_language,7,4,0,4,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003925102,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003926100,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003926100,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003926100,race_ethnicity,9,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003931100,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003931100,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003931100,race_ethnicity,9,8,0,8,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003931300,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003931300,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003931300,race_ethnicity,9,8,0,8,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003931400,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003931400,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003931400,race_ethnicity,9,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003932200,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003932200,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003932200,race_ethnicity,9,7,0,7,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003932300,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003932300,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003932300,race_ethnicity,9,8,0,8,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003933200,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003933200,primary_language,7,6,0,6,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003933200,race_ethnicity,9,8,0,8,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003933300,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003933300,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003933300,race_ethnicity,9,8,0,8,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003933400,disability_status,3,1,1,2,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
25003933400,primary_language,7,5,0,5,pass,at least two cells are withheld when exactly one primary cell would otherwise be recoverable
