field_id,table,field,data_type,grain,field_class,definition,missing_meaning,allowed_use,prohibited_interpretation
D027,staffing.csv.gz,staffing_id,text,one synthetic role per arrival shift,synthetic source,stable synthetic staffing-row identifier,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D028,staffing.csv.gz,service_id,text,one synthetic role per arrival shift,synthetic source,fictional service identifier,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D029,staffing.csv.gz,shift_id,text,one synthetic role per arrival shift,synthetic source,stable date and shift identifier,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D030,staffing.csv.gz,shift_start,UTC timestamp,one synthetic role per arrival shift,synthetic source,start timestamp for the eight-hour arrival shift,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D031,staffing.csv.gz,role,text,one synthetic role per arrival shift,synthetic source,synthetic workforce role,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D032,staffing.csv.gz,scheduled_count,integer,one synthetic role per arrival shift,synthetic source,scheduled synthetic staff count,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D033,staffing.csv.gz,actual_count,integer,one synthetic role per arrival shift,synthetic source,actual synthetic staff count after absence,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D034,staffing.csv.gz,shift_hours,integer,one synthetic role per arrival shift,synthetic source,scheduled hours in the shift,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D035,staffing.csv.gz,scheduled_staff_hours,integer,one synthetic role per arrival shift,synthetic source,scheduled count multiplied by shift hours,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D036,staffing.csv.gz,actual_staff_hours,integer,one synthetic role per arrival shift,synthetic source,actual count multiplied by shift hours plus overtime,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D037,staffing.csv.gz,overtime_hours,integer,one synthetic role per arrival shift,synthetic source,synthetic hours worked beyond the scheduled count-hours,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D038,staffing.csv.gz,absence_hours,integer,one synthetic role per arrival shift,synthetic source,scheduled count-hours not supplied because of absence,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D039,staffing.csv.gz,source_row_status,text,one synthetic role per arrival shift,synthetic audit,original or seeded-defect source status,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D040,staffing.csv.gz,defect_flag,integer,one synthetic role per arrival shift,synthetic audit,seeded defect ID or blank,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D041,staffing.csv.gz,synthetic_flag,integer,one synthetic role per arrival shift,synthetic audit,must equal 1 for every row,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D042,queue-snapshots.csv.gz,snapshot_id,text,one service queue per 30-minute interval,synthetic source,stable queue-snapshot identifier,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D043,queue-snapshots.csv.gz,service_id,text,one service queue per 30-minute interval,synthetic source,fictional service identifier,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D044,queue-snapshots.csv.gz,interval_start,UTC timestamp,one service queue per 30-minute interval,synthetic source,start of the 30-minute queue interval,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D045,queue-snapshots.csv.gz,interval_end,UTC timestamp,one service queue per 30-minute interval,synthetic source,end of the 30-minute queue interval,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D046,queue-snapshots.csv.gz,shift_id,text,one service queue per 30-minute interval,synthetic source,stable date and shift identifier,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D047,queue-snapshots.csv.gz,queue_start,integer,one service queue per 30-minute interval,synthetic source,encounters waiting for first clinician contact at interval start,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D048,queue-snapshots.csv.gz,arrivals,integer,one service queue per 30-minute interval,synthetic source,qualifying arrivals during the interval,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D049,queue-snapshots.csv.gz,service_starts,integer,one service queue per 30-minute interval,synthetic source,first clinician contacts during the interval,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D050,queue-snapshots.csv.gz,exits_without_service,integer,one service queue per 30-minute interval,synthetic source,left-before-seen departures during the interval,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D051,queue-snapshots.csv.gz,queue_end,integer,one service queue per 30-minute interval,synthetic source,queue_start plus arrivals minus service starts and exits without service,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D052,queue-snapshots.csv.gz,clinician_count,integer,one service queue per 30-minute interval,synthetic source,physician and advanced-practice clinician count for the shift,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D053,queue-snapshots.csv.gz,staffed_clinician_hours_interval,integer,one service queue per 30-minute interval,synthetic source,clinician count multiplied by one half hour,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D054,queue-snapshots.csv.gz,occupancy_proxy,integer,one service queue per 30-minute interval,synthetic source,queue end divided by clinician count and bounded for display,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D055,queue-snapshots.csv.gz,source_row_status,text,one service queue per 30-minute interval,synthetic audit,original or seeded-defect source status,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D056,queue-snapshots.csv.gz,defect_flag,integer,one service queue per 30-minute interval,synthetic audit,seeded defect ID or blank,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D057,queue-snapshots.csv.gz,synthetic_flag,integer,one service queue per 30-minute interval,synthetic audit,must equal 1 for every row,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D058,safety-events.csv.gz,candidate_id,text,one true event or reviewed non-event candidate,synthetic source,stable synthetic safety-review candidate identifier,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D059,safety-events.csv.gz,encounter_id,text,one true event or reviewed non-event candidate,synthetic source,stable synthetic encounter identifier,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D060,safety-events.csv.gz,service_id,text,one true event or reviewed non-event candidate,synthetic source,fictional service identifier,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D061,safety-events.csv.gz,event_at,UTC timestamp,one true event or reviewed non-event candidate,synthetic source,recorded process-event timestamp,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D062,safety-events.csv.gz,event_class,text,one true event or reviewed non-event candidate,synthetic source,"error, near miss, adverse event, harm, or reviewed non-event",blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D063,safety-events.csv.gz,known_true_event_flag,integer,one true event or reviewed non-event candidate,synthetic source,generated truth used to evaluate surveillance,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D064,safety-events.csv.gz,trigger_flag,integer,one true event or reviewed non-event candidate,synthetic source,1 when the synthetic surveillance trigger fired,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D065,safety-events.csv.gz,incident_report_flag,integer,one true event or reviewed non-event candidate,synthetic source,1 when a synthetic incident report was submitted,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D066,safety-events.csv.gz,review_status,text,one true event or reviewed non-event candidate,synthetic source,status of synthetic safety review,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D067,safety-events.csv.gz,severity,text,one true event or reviewed non-event candidate,synthetic source,synthetic event-severity category,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D068,safety-events.csv.gz,source_row_status,text,one true event or reviewed non-event candidate,synthetic audit,original or seeded-defect source status,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D069,safety-events.csv.gz,defect_flag,integer,one true event or reviewed non-event candidate,synthetic audit,seeded defect ID or blank,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D070,safety-events.csv.gz,synthetic_flag,integer,one true event or reviewed non-event candidate,synthetic audit,must equal 1 for every row,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D071,calendar-demand.csv.gz,shift_id,text,one arrival shift,synthetic source,stable date and shift identifier,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D072,calendar-demand.csv.gz,date,text,one arrival shift,synthetic source,calendar date for the arrival shift,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D073,calendar-demand.csv.gz,shift_name,text,one arrival shift,synthetic source,"night, day, or evening arrival shift",blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D074,calendar-demand.csv.gz,shift_start,UTC timestamp,one arrival shift,synthetic source,start timestamp for the eight-hour arrival shift,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D075,calendar-demand.csv.gz,day_of_week,text,one arrival shift,synthetic source,English weekday name,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D076,calendar-demand.csv.gz,week_index,integer,one arrival shift,synthetic source,one-based week number within the 52-week release,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D077,calendar-demand.csv.gz,season,text,one arrival shift,synthetic source,calendar season used as a forecast feature,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D078,calendar-demand.csv.gz,holiday_flag,integer,one arrival shift,synthetic source,1 for a declared synthetic holiday date,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D079,calendar-demand.csv.gz,synthetic_special_event_flag,integer,one arrival shift,synthetic source,1 during a declared generated demand event,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D080,calendar-demand.csv.gz,arrival_count,integer,one arrival shift,synthetic source,raw encounter arrivals assigned to the shift,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D081,calendar-demand.csv.gz,source_row_status,text,one arrival shift,synthetic audit,original or seeded-defect source status,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D082,calendar-demand.csv.gz,defect_flag,integer,one arrival shift,synthetic audit,seeded defect ID or blank,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D083,calendar-demand.csv.gz,synthetic_flag,integer,one arrival shift,synthetic audit,must equal 1 for every row,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D084,scenarios.csv.gz,scenario_id,text,one predeclared scenario without results,synthetic source,stable predeclared scenario identifier,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D085,scenarios.csv.gz,name,text,one predeclared scenario without results,synthetic source,plain-language scenario name,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D086,scenarios.csv.gz,change_type,text,one predeclared scenario without results,synthetic source,"capacity, workflow, combined, or no-change classification",blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D087,scenarios.csv.gz,trigger_rule,text,one predeclared scenario without results,synthetic source,predeclared condition that would activate the scenario,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D088,scenarios.csv.gz,capacity_change,text,one predeclared scenario without results,synthetic source,predeclared capacity assumption without a result,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D089,scenarios.csv.gz,workflow_change,text,one predeclared scenario without results,synthetic source,predeclared workflow assumption without a result,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D090,scenarios.csv.gz,eligible_period,text,one predeclared scenario without results,synthetic source,period for later scenario evaluation,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D091,scenarios.csv.gz,outcome_measures,text,one predeclared scenario without results,synthetic source,declared later outcome measures,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D092,scenarios.csv.gz,balancing_measures,text,one predeclared scenario without results,synthetic source,declared later balancing measures,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D093,scenarios.csv.gz,results_status,text,one predeclared scenario without results,synthetic source,states that scenario results are not present in Module 02,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D094,scenarios.csv.gz,source_row_status,text,one predeclared scenario without results,synthetic audit,original or seeded-defect source status,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D095,scenarios.csv.gz,defect_flag,integer,one predeclared scenario without results,synthetic audit,seeded defect ID or blank,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D096,scenarios.csv.gz,synthetic_flag,integer,one predeclared scenario without results,synthetic audit,must equal 1 for every row,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D097,known-truth.csv.gz,truth_id,text,one generated mechanism or null condition,synthetic source,stable generated-truth identifier,not permitted,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D098,known-truth.csv.gz,domain,text,one generated mechanism or null condition,synthetic source,generated mechanism domain,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D099,known-truth.csv.gz,start_date,text,one generated mechanism or null condition,synthetic source,first date on which the mechanism applies,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D100,known-truth.csv.gz,end_date,text,one generated mechanism or null condition,synthetic source,last date on which the mechanism applies,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D101,known-truth.csv.gz,scope,text,one generated mechanism or null condition,synthetic source,"shift, subgroup, service, or release scope",blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
D102,known-truth.csv.gz,mechanism,text,one generated mechanism or null condition,synthetic source,generated mechanism or null condition,blank means unavailable or not applicable under the declared state,"curriculum construction, measure validation, and synthetic teaching analysis","real patient, hospital, clinician, workforce, prevalence, quality, staffing, causal, or implementation claim"
