source_id,field_order,field_name,type,nullable,definition,claim_limit
synthetic-equity-margins,16,risk_multiplier,decimal,no,Fixed generator multiplier used only to allocate synthetic events,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,17,generator_version,text,no,Generator semantic version,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,18,seed,integer,no,Generator seed,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,19,synthetic_flag,integer,no,One for every row,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,20,margin_only,integer,no,One; dimensions cannot be joined into person-level combinations,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-equity-margins,21,claim_limit,text,no,"Prohibition on real identity, disparity, eligibility, and allocation claims","Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,1,completeness_id,text,no,Stable generated tract-age completeness row identifier,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,2,case_id,text,no,Fictional planning case identifier,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,3,tract_fips,text,no,Accepted Census tract key for the conditioned analytic universe,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,4,age_band_id,text,no,Accepted adult age-band identifier,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,5,age_band,text,no,Accepted adult age-band label,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,6,band_order,integer,no,Age-band calculation order,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,7,period,text,no,Fictional event period,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,8,synthetic_event_count,integer,no,Accepted generated event count,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,9,race_missing_count,integer,no,Generated event records missing race,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,10,ethnicity_missing_count,integer,no,Generated event records missing ethnicity,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,11,primary_language_missing_count,integer,no,Generated event records missing primary language,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,12,disability_status_missing_count,integer,no,Generated event records missing disability status,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,13,tract_geography_missing_count,integer,no,Zero by construction because the analytic universe is conditioned on tract linkage,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,14,generator_version,text,no,Generator semantic version,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,15,seed,integer,no,Generator seed,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,16,synthetic_flag,integer,no,One for every row,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,17,analytic_universe,text,no,Conditioned linked analytic universe,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
synthetic-field-completeness,18,claim_limit,text,no,Missingness counts do not establish capture quality or real group identity,"Synthetic aggregate teaching data only; no person, community, clinical, eligibility, or allocation inference."
