result_id,output_file,measure_name,numerator_definition,denominator_definition,denominator_n,exclusions,missing_handling,time_window,unit,interpretation_limit,retained_conditions
VP12,variable-profile.csv,One-variable profile: prior_365d_medication_count,not applicable; summary over registered field values,all accepted Module 04 synthetic patient rows,374,none,retain 0 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,count,One supported count above 100 remains included; rows are not unique therapies.,N06
VP13,variable-profile.csv,One-variable profile: next_30d_state,not applicable; summary over registered field values,all accepted Module 04 synthetic patient rows,374,none,retain 0 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,categorical,No encounter recorded is source-specific; small states require cautious display.,N03|N08
VP14,variable-profile.csv,One-variable profile: next_30d_days_after_index_stop,not applicable; summary over registered field values,available nonblank field values,111,none,retain 263 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,continuous available-case,"Timing describes 111 recorded next encounters, not all 374 people.",N03
VP15,variable-profile.csv,One-variable profile: acute_return_90d,not applicable; summary over registered field values,all accepted Module 04 synthetic patient rows,374,none,retain 0 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,binary categorical,Flag describes a recorded synthetic event in the declared window.,
VP16,variable-profile.csv,One-variable profile: death_90d,not applicable; summary over registered field values,all accepted Module 04 synthetic patient rows,374,none,retain 0 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,binary categorical,The small synthetic-death cell requires cautious interpretation.,N08
VP17,variable-profile.csv,One-variable profile: endpoint_90d,not applicable; summary over registered field values,all accepted Module 04 synthetic patient rows,374,none,retain 0 blanks; do not convert to zero or a clinical state,field-specific as declared in the Module 03 data dictionary,categorical,Endpoint uses death precedence and small-cell caution.,N08
CT01,cross-tabs.csv,gender by endpoint_90d,people in the row-category and endpoint cell,people in each complete row category for row percentages,374,none,no missing row or endpoint values,index encounter plus mutually exclusive 90-day endpoint,count and row percent,Complete unadjusted synthetic-cohort cross-tab; no group effect or real-population inference.,N08
CT02,cross-tabs.csv,index_class by endpoint_90d,people in the row-category and endpoint cell,people in each complete row category for row percentages,374,none,no missing row or endpoint values,index encounter plus mutually exclusive 90-day endpoint,count and row percent,Complete unadjusted synthetic-cohort cross-tab; no group effect or real-population inference.,N08
RT01,rates.csv,Any recorded next encounter within 30 days,next_30d_state is not No encounter recorded,all accepted Module 04 synthetic patient rows,374,none,explicit state retained; no blank treated as zero,after index stop through 30 days,percent of synthetic patients,Recorded in this source does not mean all other people received no care.,N03
RT02,rates.csv,Scheduled care within 30 days,next_30d_state equals Scheduled care,all accepted Module 04 synthetic patient rows,374,none,explicit state retained; no blank treated as zero,after index stop through 30 days,percent of synthetic patients,Describes the first recorded next-encounter group in this source.,N03
RT03,rates.csv,Urgent care within 30 days,next_30d_state equals Urgent care,all accepted Module 04 synthetic patient rows,374,none,explicit state retained; no blank treated as zero,after index stop through 30 days,percent of synthetic patients,Small synthetic cell; no quality or access conclusion.,N03|N08
RT04,rates.csv,Acute return within 30 days,next_30d_state equals Acute return,all accepted Module 04 synthetic patient rows,374,none,explicit state retained; no blank treated as zero,after index stop through 30 days,percent of synthetic patients,"Describes the first next recorded encounter group, not every event.",N03
RT05,rates.csv,Any acute return within 90 days,acute_return_90d equals 1,all accepted Module 04 synthetic patient rows,374,none,explicit state retained; no blank treated as zero,after index stop through 90 days,percent of synthetic patients,Synthetic-cohort description; no real event-rate inference.,
RT06,rates.csv,Synthetic death within 90 days,death_90d equals 1,all accepted Module 04 synthetic patient rows,374,none,explicit state retained; no blank treated as zero,after index stop through 90 days,percent of synthetic patients,Small synthetic cell; no real mortality or performance inference.,N08
ST01,stratified-table.csv,Index-class stratum: emergency,accepted people with index_class equal to emergency,all accepted Module 04 synthetic patient rows for stratum share; stratum rows for within-stratum summaries,314,none,registered fields are complete,"index age, 365-day lookback, and 90-day follow-up",mixed descriptive units stated in column headers,"Unadjusted synthetic-cohort stratum; no class effect, fair comparison, or real-population inference.",N04|N05|N06|N08
ST02,stratified-table.csv,Index-class stratum: inpatient,accepted people with index_class equal to inpatient,all accepted Module 04 synthetic patient rows for stratum share; stratum rows for within-stratum summaries,60,none,registered fields are complete,"index age, 365-day lookback, and 90-day follow-up",mixed descriptive units stated in column headers,"Unadjusted synthetic-cohort stratum; no class effect, fair comparison, or real-population inference.",N04|N05|N06|N08
