comment_id,link_person_id,data_class,assigned_channel,language_support_offer,accessible_format_offer,comment_language,comment_text
COMMENT-0022,LINK-0075,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,It was hard to find help during the evening or weekend. I wanted more time to ask questions and help choose the plan.
COMMENT-0023,LINK-0076,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,offered,synthetic English,"I knew which medicines changed, but not why."
COMMENT-0024,LINK-0079,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,I wanted more time to ask questions and help choose the plan.
COMMENT-0025,LINK-0081,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,The written plan and spoken explanation did not match for me.
COMMENT-0026,LINK-0086,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,I have one more question about the next step.
COMMENT-0027,LINK-0092,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,offered,synthetic English,The plan did not include a lower-cost option.
COMMENT-0028,LINK-0096,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,The plan did not say when a change should lead me to call.
COMMENT-0029,LINK-0103,fully_synthetic_comment_linked_to_public_derived_meps,phone,offered,not_offered,synthetic English,I wanted clearer guidance about symptoms that need urgent attention.
COMMENT-0030,LINK-0106,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I wanted a shorter explanation of the plan before leaving.
COMMENT-0031,LINK-0115,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,offered,synthetic English,The digital instructions were difficult to use on my device. The plan did not say when a change should lead me to call.
COMMENT-0032,LINK-0117,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,I needed more help understanding when to take each medicine.
COMMENT-0033,LINK-0122,fully_synthetic_comment_linked_to_public_derived_meps,web,offered,offered,synthetic English,The cost of the recommended follow-up made the plan harder to carry out.
COMMENT-0034,LINK-0123,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,Part of the visit was helpful and part was confusing. I wanted more time to ask questions and help choose the plan.
COMMENT-0035,LINK-0124,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,"The instructions used clear words, but I still had one question about care at home."
COMMENT-0036,LINK-0130,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,The team listened to my concern before explaining the next step. I needed more help understanding when to take each medicine.
COMMENT-0037,LINK-0137,fully_synthetic_comment_linked_to_public_derived_meps,phone,offered,not_offered,synthetic English,I wanted more time to ask questions and help choose the plan.
COMMENT-0038,LINK-0138,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,The medicine list was hard to follow after I got home.
COMMENT-0039,LINK-0139,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,offered,synthetic English,The written plan and spoken explanation did not match for me.
COMMENT-0040,LINK-0141,fully_synthetic_comment_linked_to_public_derived_meps,phone,offered,not_offered,synthetic English,The team listened to my concern before explaining the next step.
COMMENT-0041,LINK-0144,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,I am not sure which part of the process this comment belongs to.
COMMENT-0042,LINK-0147,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,I was not sure which warning signs meant I should call for help.
COMMENT-0043,LINK-0149,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,I needed more help understanding when to take each medicine. I did not feel included when the plan changed.
COMMENT-0044,LINK-0150,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,"The instructions used clear words, but I still had one question about care at home."
COMMENT-0045,LINK-0152,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,offered,synthetic English,The cost of the recommended follow-up made the plan harder to carry out.
COMMENT-0046,LINK-0153,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,I needed more help understanding when to take each medicine.
COMMENT-0047,LINK-0157,fully_synthetic_comment_linked_to_public_derived_meps,mail,offered,not_offered,synthetic English,The team listened to my concern before explaining the next step.
COMMENT-0048,LINK-0159,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I needed more help understanding when to take each medicine.
COMMENT-0049,LINK-0161,fully_synthetic_comment_linked_to_public_derived_meps,mail,offered,not_offered,synthetic English,I am not sure which part of the process this comment belongs to.
COMMENT-0050,LINK-0163,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,"The instructions used clear words, but I still had one question about care at home."
COMMENT-0051,LINK-0166,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,offered,synthetic English,I did not feel included when the plan changed.
COMMENT-0052,LINK-0167,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,The written plan and spoken explanation did not match for me. I needed more help understanding when to take each medicine.
COMMENT-0053,LINK-0173,fully_synthetic_comment_linked_to_public_derived_meps,web,offered,not_offered,synthetic English,"The cost of the recommended follow-up made the plan harder to carry out. I could not tell whether the follow-up was online, by phone, or in person."
COMMENT-0054,LINK-0175,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,I wanted clearer guidance about symptoms that need urgent attention.
COMMENT-0055,LINK-0176,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,It was hard to find help during the evening or weekend.
COMMENT-0056,LINK-0177,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,I have one more question about the next step.
COMMENT-0057,LINK-0179,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,The digital instructions were difficult to use on my device. The medicine list was hard to follow after I got home.
COMMENT-0058,LINK-0182,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,offered,synthetic English,I wanted clearer guidance about symptoms that need urgent attention. The medicine list was hard to follow after I got home.
COMMENT-0059,LINK-0185,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I did not feel included when the plan changed. I needed more help understanding when to take each medicine.
COMMENT-0060,LINK-0186,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,offered,synthetic English,I was not sure which warning signs meant I should call for help.
COMMENT-0061,LINK-0187,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,offered,synthetic English,The plan did not include a lower-cost option.
COMMENT-0062,LINK-0188,fully_synthetic_comment_linked_to_public_derived_meps,mail,offered,not_offered,synthetic English,I did not know who to contact after regular hours. I wanted more time to ask questions and help choose the plan.
COMMENT-0063,LINK-0192,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,"I knew which medicines changed, but not why."
COMMENT-0064,LINK-0195,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,The cost of the recommended follow-up made the plan harder to carry out.
COMMENT-0065,LINK-0196,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,The plan named a phone number but did not explain when it was available.
COMMENT-0066,LINK-0199,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,The medicine list was hard to follow after I got home.
COMMENT-0067,LINK-0200,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I did not feel included when the plan changed.
COMMENT-0068,LINK-0201,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I am not sure which part of the process this comment belongs to.
COMMENT-0069,LINK-0205,fully_synthetic_comment_linked_to_public_derived_meps,mail,offered,not_offered,synthetic English,I needed more help understanding when to take each medicine.
COMMENT-0070,LINK-0206,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,The digital instructions were difficult to use on my device.
COMMENT-0071,LINK-0209,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,The plan did not say when a change should lead me to call.
COMMENT-0072,LINK-0218,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,offered,synthetic English,"The instructions used clear words, but I still had one question about care at home."
COMMENT-0073,LINK-0220,fully_synthetic_comment_linked_to_public_derived_meps,web,not_offered,offered,synthetic English,"The video visit worked, but I still needed a phone option."
COMMENT-0074,LINK-0226,fully_synthetic_comment_linked_to_public_derived_meps,mail,offered,offered,synthetic English,I wanted more time to ask questions and help choose the plan.
COMMENT-0075,LINK-0232,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,The plan did not include a lower-cost option. I was not sure which warning signs meant I should call for help.
COMMENT-0076,LINK-0235,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,offered,synthetic English,The cost of the recommended follow-up made the plan harder to carry out. I wanted clearer guidance about symptoms that need urgent attention.
COMMENT-0077,LINK-0236,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,"I could not tell whether the follow-up was online, by phone, or in person."
COMMENT-0078,LINK-0241,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,The plan named a phone number but did not explain when it was available.
COMMENT-0079,LINK-0243,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I did not feel included when the plan changed.
COMMENT-0080,LINK-0249,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,offered,synthetic English,I have one more question about the next step.
COMMENT-0081,LINK-0250,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,It was hard to find help during the evening or weekend.
COMMENT-0082,LINK-0251,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,The written plan and spoken explanation did not match for me.
COMMENT-0083,LINK-0252,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,offered,synthetic English,The medicine list was hard to follow after I got home.
COMMENT-0084,LINK-0254,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,offered,synthetic English,I did not feel included when the plan changed.
COMMENT-0085,LINK-0256,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,"The instructions used clear words, but I still had one question about care at home."
COMMENT-0086,LINK-0260,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,"The video visit worked, but I still needed a phone option."
COMMENT-0087,LINK-0263,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,offered,synthetic English,"I could not tell whether the follow-up was online, by phone, or in person."
COMMENT-0088,LINK-0265,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I had questions about what the visit or medicine would cost.
COMMENT-0089,LINK-0272,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,offered,synthetic English,"The digital instructions were difficult to use on my device. The instructions used clear words, but I still had one question about care at home."
COMMENT-0090,LINK-0274,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,I did not know who to contact after regular hours.
COMMENT-0091,LINK-0277,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,The plan did not include a lower-cost option.
COMMENT-0092,LINK-0278,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,The medicine list was hard to follow after I got home. The digital instructions were difficult to use on my device.
COMMENT-0093,LINK-0281,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,"I knew which medicines changed, but not why."
COMMENT-0094,LINK-0282,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,"I could not tell whether the follow-up was online, by phone, or in person."
COMMENT-0095,LINK-0283,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I had questions about what the visit or medicine would cost. I am not sure which part of the process this comment belongs to.
COMMENT-0096,LINK-0288,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,"The instructions used clear words, but I still had one question about care at home."
COMMENT-0097,LINK-0289,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,offered,synthetic English,I have one more question about the next step.
COMMENT-0098,LINK-0290,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,The cost of the recommended follow-up made the plan harder to carry out. The plan named a phone number but did not explain when it was available.
COMMENT-0099,LINK-0292,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,The team listened to my concern before explaining the next step.
COMMENT-0100,LINK-0297,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,The plan named a phone number but did not explain when it was available.
COMMENT-0101,LINK-0298,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I am not sure which part of the process this comment belongs to.
COMMENT-0102,LINK-0300,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,I am not sure which part of the process this comment belongs to.
COMMENT-0103,LINK-0301,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,"The instructions used clear words, but I still had one question about care at home. I wanted more time to ask questions and help choose the plan."
COMMENT-0104,LINK-0304,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,The plan did not say when a change should lead me to call. I had questions about what the visit or medicine would cost.
COMMENT-0105,LINK-0306,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,offered,synthetic English,It was hard to find help during the evening or weekend. I was not sure which warning signs meant I should call for help.
COMMENT-0106,LINK-0307,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,The plan named a phone number but did not explain when it was available.
COMMENT-0107,LINK-0312,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,offered,synthetic English,I wanted more time to ask questions and help choose the plan.
COMMENT-0108,LINK-0314,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,The medicine list was hard to follow after I got home.
COMMENT-0109,LINK-0317,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,"The instructions used clear words, but I still had one question about care at home."
COMMENT-0110,LINK-0320,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,offered,synthetic English,"The video visit worked, but I still needed a phone option. The team listened to my concern before explaining the next step."
COMMENT-0111,LINK-0322,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,The cost of the recommended follow-up made the plan harder to carry out.
COMMENT-0112,LINK-0324,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,"The video visit worked, but I still needed a phone option."
COMMENT-0113,LINK-0330,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,I was not sure which warning signs meant I should call for help.
COMMENT-0114,LINK-0335,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,"The instructions used clear words, but I still had one question about care at home. Part of the visit was helpful and part was confusing."
COMMENT-0115,LINK-0338,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,The plan did not say when a change should lead me to call.
COMMENT-0116,LINK-0340,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,offered,synthetic English,The written plan and spoken explanation did not match for me.
COMMENT-0117,LINK-0343,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,I have one more question about the next step.
COMMENT-0118,LINK-0344,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,The digital instructions were difficult to use on my device.
COMMENT-0119,LINK-0345,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,I wanted a shorter explanation of the plan before leaving. I needed more help understanding when to take each medicine.
COMMENT-0120,LINK-0346,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,I had questions about what the visit or medicine would cost.
COMMENT-0121,LINK-0348,fully_synthetic_comment_linked_to_public_derived_meps,web,offered,not_offered,synthetic English,The team listened to my concern before explaining the next step.
COMMENT-0122,LINK-0350,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I wanted a shorter explanation of the plan before leaving.
COMMENT-0123,LINK-0353,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_offered,not_offered,synthetic English,"The video visit worked, but I still needed a phone option."
COMMENT-0124,LINK-0354,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,I wanted a shorter explanation of the plan before leaving.
COMMENT-0125,LINK-0362,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,The team listened to my concern before explaining the next step.
COMMENT-0126,LINK-0369,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,The digital instructions were difficult to use on my device. It was hard to find help during the evening or weekend.
COMMENT-0127,LINK-0377,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,The medicine list was hard to follow after I got home.
COMMENT-0128,LINK-0379,fully_synthetic_comment_linked_to_public_derived_meps,mail,offered,not_offered,synthetic English,The medicine list was hard to follow after I got home. I did not know who to contact after regular hours.
COMMENT-0129,LINK-0390,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,"The instructions used clear words, but I still had one question about care at home. I was not sure which warning signs meant I should call for help."
COMMENT-0130,LINK-0392,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,offered,synthetic English,I wanted more time to ask questions and help choose the plan.
COMMENT-0131,LINK-0397,fully_synthetic_comment_linked_to_public_derived_meps,web,offered,offered,synthetic English,I wanted a shorter explanation of the plan before leaving. I needed more help understanding when to take each medicine.
COMMENT-0132,LINK-0398,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,"The instructions used clear words, but I still had one question about care at home."
COMMENT-0133,LINK-0399,fully_synthetic_comment_linked_to_public_derived_meps,web,not_offered,offered,synthetic English,"I knew which medicines changed, but not why."
COMMENT-0134,LINK-0402,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,The plan named a phone number but did not explain when it was available.
COMMENT-0135,LINK-0411,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,The written plan and spoken explanation did not match for me.
COMMENT-0136,LINK-0417,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,The plan did not include a lower-cost option.
COMMENT-0137,LINK-0423,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,offered,synthetic English,I did not know who to contact after regular hours.
COMMENT-0138,LINK-0425,fully_synthetic_comment_linked_to_public_derived_meps,phone,offered,not_offered,synthetic English,Part of the visit was helpful and part was confusing.
COMMENT-0139,LINK-0426,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,I wanted clearer guidance about symptoms that need urgent attention.
COMMENT-0140,LINK-0427,fully_synthetic_comment_linked_to_public_derived_meps,mail,offered,not_offered,synthetic English,It was hard to find help during the evening or weekend.
COMMENT-0141,LINK-0429,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,The digital instructions were difficult to use on my device.
COMMENT-0142,LINK-0430,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,I wanted a shorter explanation of the plan before leaving.
COMMENT-0143,LINK-0437,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I did not feel included when the plan changed. I have one more question about the next step.
COMMENT-0144,LINK-0439,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,offered,synthetic English,The plan did not say when a change should lead me to call.
COMMENT-0145,LINK-0444,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,"The plan did not include a lower-cost option. I knew which medicines changed, but not why."
COMMENT-0146,LINK-0448,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I did not feel included when the plan changed.
COMMENT-0147,LINK-0452,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I needed more help understanding when to take each medicine. I wanted clearer guidance about symptoms that need urgent attention.
COMMENT-0148,LINK-0455,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I was not sure which warning signs meant I should call for help.
COMMENT-0149,LINK-0457,fully_synthetic_comment_linked_to_public_derived_meps,web,offered,not_offered,synthetic English,I did not know who to contact after regular hours.
COMMENT-0150,LINK-0458,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I had questions about what the visit or medicine would cost. I wanted clearer guidance about symptoms that need urgent attention.
COMMENT-0151,LINK-0460,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,offered,synthetic English,The team listened to my concern before explaining the next step.
COMMENT-0152,LINK-0461,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,offered,synthetic English,I have one more question about the next step.
COMMENT-0153,LINK-0472,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,I wanted clearer guidance about symptoms that need urgent attention.
COMMENT-0154,LINK-0474,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_offered,not_offered,synthetic English,I was not sure which warning signs meant I should call for help.
COMMENT-0155,LINK-0484,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,The digital instructions were difficult to use on my device. I wanted more time to ask questions and help choose the plan.
COMMENT-0156,LINK-0486,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,The cost of the recommended follow-up made the plan harder to carry out.
COMMENT-0157,LINK-0487,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,"The instructions used clear words, but I still had one question about care at home."
COMMENT-0158,LINK-0489,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,offered,synthetic English,It was hard to find help during the evening or weekend.
COMMENT-0159,LINK-0491,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,"I could not tell whether the follow-up was online, by phone, or in person."
COMMENT-0160,LINK-0493,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,The written plan and spoken explanation did not match for me.
COMMENT-0161,LINK-0497,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,"I knew which medicines changed, but not why."
COMMENT-0162,LINK-0505,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,offered,synthetic English,The digital instructions were difficult to use on my device.
COMMENT-0163,LINK-0511,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I was not sure which warning signs meant I should call for help.
COMMENT-0164,LINK-0512,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,offered,synthetic English,"I could not tell whether the follow-up was online, by phone, or in person."
COMMENT-0165,LINK-0514,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,I wanted a shorter explanation of the plan before leaving.
COMMENT-0166,LINK-0515,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,offered,synthetic English,"I could not tell whether the follow-up was online, by phone, or in person."
COMMENT-0167,LINK-0517,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,I did not know who to contact after regular hours.
COMMENT-0168,LINK-0518,fully_synthetic_comment_linked_to_public_derived_meps,phone,not_applicable,not_offered,synthetic English,I have one more question about the next step. The medicine list was hard to follow after I got home.
COMMENT-0169,LINK-0519,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,Part of the visit was helpful and part was confusing. It was hard to find help during the evening or weekend.
COMMENT-0170,LINK-0525,fully_synthetic_comment_linked_to_public_derived_meps,mail,not_applicable,not_offered,synthetic English,"The instructions used clear words, but I still had one question about care at home."
COMMENT-0171,LINK-0528,fully_synthetic_comment_linked_to_public_derived_meps,web,not_applicable,not_offered,synthetic English,It was hard to find help during the evening or weekend.
