comment_id,primary_theme,secondary_theme,ambiguous,secondary_text_first,primary_template_id,secondary_template_id,generation_rule
COMMENT-0001,cost_barrier,,no,no,cost_barrier-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0028,warning_signs,,no,no,warning_signs-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0029,warning_signs,,no,no,warning_signs-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0030,communication_clarity,,no,no,communication_clarity-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0031,warning_signs,digital_channel,yes,yes,warning_signs-T3,digital_channel-T3,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0032,medication_help,,no,no,medication_help-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0033,cost_barrier,,no,no,cost_barrier-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0034,other_or_unclear,respect_involvement,yes,no,other_or_unclear-T2,respect_involvement-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0035,communication_clarity,,no,no,communication_clarity-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0036,medication_help,respect_involvement,yes,yes,medication_help-T1,respect_involvement-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0037,respect_involvement,,no,no,respect_involvement-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0038,medication_help,,no,no,medication_help-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0039,communication_clarity,,no,no,communication_clarity-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0040,respect_involvement,,no,no,respect_involvement-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0041,other_or_unclear,,no,no,other_or_unclear-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0042,warning_signs,,no,no,warning_signs-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0043,respect_involvement,medication_help,yes,yes,respect_involvement-T3,medication_help-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0044,communication_clarity,,no,no,communication_clarity-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0045,cost_barrier,,no,no,cost_barrier-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0046,medication_help,,no,no,medication_help-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0047,respect_involvement,,no,no,respect_involvement-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0048,medication_help,,no,no,medication_help-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0049,other_or_unclear,,no,no,other_or_unclear-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0050,communication_clarity,,no,no,communication_clarity-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0051,respect_involvement,,no,no,respect_involvement-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0052,communication_clarity,medication_help,yes,no,communication_clarity-T3,medication_help-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0053,digital_channel,cost_barrier,yes,yes,digital_channel-T2,cost_barrier-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0054,warning_signs,,no,no,warning_signs-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0055,access_after_hours,,no,no,access_after_hours-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0056,other_or_unclear,,no,no,other_or_unclear-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0057,digital_channel,medication_help,yes,no,digital_channel-T3,medication_help-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0058,medication_help,warning_signs,yes,yes,medication_help-T2,warning_signs-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0059,respect_involvement,medication_help,yes,no,respect_involvement-T3,medication_help-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0060,warning_signs,,no,no,warning_signs-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0061,cost_barrier,,no,no,cost_barrier-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0062,access_after_hours,respect_involvement,yes,no,access_after_hours-T1,respect_involvement-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0063,medication_help,,no,no,medication_help-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0064,cost_barrier,,no,no,cost_barrier-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0065,access_after_hours,,no,no,access_after_hours-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0066,medication_help,,no,no,medication_help-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0067,respect_involvement,,no,no,respect_involvement-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0068,other_or_unclear,,no,no,other_or_unclear-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0069,medication_help,,no,no,medication_help-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0070,digital_channel,,no,no,digital_channel-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0071,warning_signs,,no,no,warning_signs-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0072,communication_clarity,,no,no,communication_clarity-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0073,digital_channel,,no,no,digital_channel-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0074,respect_involvement,,no,no,respect_involvement-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0075,warning_signs,cost_barrier,yes,yes,warning_signs-T1,cost_barrier-T3,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0076,warning_signs,cost_barrier,yes,yes,warning_signs-T2,cost_barrier-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0077,digital_channel,,no,no,digital_channel-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0078,access_after_hours,,no,no,access_after_hours-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0079,respect_involvement,,no,no,respect_involvement-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0080,other_or_unclear,,no,no,other_or_unclear-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0081,access_after_hours,,no,no,access_after_hours-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0082,communication_clarity,,no,no,communication_clarity-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0083,medication_help,,no,no,medication_help-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0084,respect_involvement,,no,no,respect_involvement-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0085,communication_clarity,,no,no,communication_clarity-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0086,digital_channel,,no,no,digital_channel-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0087,digital_channel,,no,no,digital_channel-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0088,cost_barrier,,no,no,cost_barrier-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0089,digital_channel,communication_clarity,yes,no,digital_channel-T3,communication_clarity-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0090,access_after_hours,,no,no,access_after_hours-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0091,cost_barrier,,no,no,cost_barrier-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0092,medication_help,digital_channel,yes,no,medication_help-T2,digital_channel-T3,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0093,medication_help,,no,no,medication_help-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0094,digital_channel,,no,no,digital_channel-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0095,other_or_unclear,cost_barrier,yes,yes,other_or_unclear-T3,cost_barrier-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0096,communication_clarity,,no,no,communication_clarity-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0097,other_or_unclear,,no,no,other_or_unclear-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0098,access_after_hours,cost_barrier,yes,yes,access_after_hours-T3,cost_barrier-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0099,respect_involvement,,no,no,respect_involvement-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0100,access_after_hours,,no,no,access_after_hours-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0101,other_or_unclear,,no,no,other_or_unclear-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0102,other_or_unclear,,no,no,other_or_unclear-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0103,respect_involvement,communication_clarity,yes,yes,respect_involvement-T1,communication_clarity-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0104,warning_signs,cost_barrier,yes,no,warning_signs-T3,cost_barrier-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0105,warning_signs,access_after_hours,yes,yes,warning_signs-T1,access_after_hours-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0106,access_after_hours,,no,no,access_after_hours-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0107,respect_involvement,,no,no,respect_involvement-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0108,medication_help,,no,no,medication_help-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0109,communication_clarity,,no,no,communication_clarity-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0110,respect_involvement,digital_channel,yes,yes,respect_involvement-T2,digital_channel-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0111,cost_barrier,,no,no,cost_barrier-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0112,digital_channel,,no,no,digital_channel-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0113,warning_signs,,no,no,warning_signs-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0114,communication_clarity,other_or_unclear,yes,no,communication_clarity-T1,other_or_unclear-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0115,warning_signs,,no,no,warning_signs-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0116,communication_clarity,,no,no,communication_clarity-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0117,other_or_unclear,,no,no,other_or_unclear-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0118,digital_channel,,no,no,digital_channel-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0119,communication_clarity,medication_help,yes,no,communication_clarity-T2,medication_help-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0120,cost_barrier,,no,no,cost_barrier-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0121,respect_involvement,,no,no,respect_involvement-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0122,communication_clarity,,no,no,communication_clarity-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0123,digital_channel,,no,no,digital_channel-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0124,communication_clarity,,no,no,communication_clarity-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0125,respect_involvement,,no,no,respect_involvement-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0126,access_after_hours,digital_channel,yes,yes,access_after_hours-T2,digital_channel-T3,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0127,medication_help,,no,no,medication_help-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0128,medication_help,access_after_hours,yes,no,medication_help-T2,access_after_hours-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0129,warning_signs,communication_clarity,yes,yes,warning_signs-T1,communication_clarity-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0130,respect_involvement,,no,no,respect_involvement-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0131,communication_clarity,medication_help,yes,no,communication_clarity-T2,medication_help-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0132,communication_clarity,,no,no,communication_clarity-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0133,medication_help,,no,no,medication_help-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0134,access_after_hours,,no,no,access_after_hours-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0135,communication_clarity,,no,no,communication_clarity-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0136,cost_barrier,,no,no,cost_barrier-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0137,access_after_hours,,no,no,access_after_hours-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0138,other_or_unclear,,no,no,other_or_unclear-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0139,warning_signs,,no,no,warning_signs-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0140,access_after_hours,,no,no,access_after_hours-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0141,digital_channel,,no,no,digital_channel-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0142,communication_clarity,,no,no,communication_clarity-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0143,other_or_unclear,respect_involvement,yes,yes,other_or_unclear-T1,respect_involvement-T3,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0144,warning_signs,,no,no,warning_signs-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0145,medication_help,cost_barrier,yes,yes,medication_help-T3,cost_barrier-T3,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0146,respect_involvement,,no,no,respect_involvement-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0147,medication_help,warning_signs,yes,no,medication_help-T1,warning_signs-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0148,warning_signs,,no,no,warning_signs-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0149,access_after_hours,,no,no,access_after_hours-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0150,cost_barrier,warning_signs,yes,no,cost_barrier-T2,warning_signs-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0151,respect_involvement,,no,no,respect_involvement-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0152,other_or_unclear,,no,no,other_or_unclear-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0153,warning_signs,,no,no,warning_signs-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0154,warning_signs,,no,no,warning_signs-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0155,respect_involvement,digital_channel,yes,yes,respect_involvement-T1,digital_channel-T3,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0156,cost_barrier,,no,no,cost_barrier-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0157,communication_clarity,,no,no,communication_clarity-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0158,access_after_hours,,no,no,access_after_hours-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0159,digital_channel,,no,no,digital_channel-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0160,communication_clarity,,no,no,communication_clarity-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0161,medication_help,,no,no,medication_help-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0162,digital_channel,,no,no,digital_channel-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0163,warning_signs,,no,no,warning_signs-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0164,digital_channel,,no,no,digital_channel-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0165,communication_clarity,,no,no,communication_clarity-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0166,digital_channel,,no,no,digital_channel-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0167,access_after_hours,,no,no,access_after_hours-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0168,medication_help,other_or_unclear,yes,yes,medication_help-T2,other_or_unclear-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0169,other_or_unclear,access_after_hours,yes,no,other_or_unclear-T2,access_after_hours-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0170,communication_clarity,,no,no,communication_clarity-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0171,access_after_hours,,no,no,access_after_hours-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0172,communication_clarity,respect_involvement,yes,no,communication_clarity-T1,respect_involvement-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0173,digital_channel,other_or_unclear,yes,yes,digital_channel-T1,other_or_unclear-T3,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0174,digital_channel,,no,no,digital_channel-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0175,cost_barrier,access_after_hours,yes,no,cost_barrier-T1,access_after_hours-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0176,warning_signs,,no,no,warning_signs-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0177,communication_clarity,warning_signs,yes,yes,communication_clarity-T3,warning_signs-T3,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0178,communication_clarity,warning_signs,yes,no,communication_clarity-T3,warning_signs-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0179,access_after_hours,,no,no,access_after_hours-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0180,respect_involvement,other_or_unclear,yes,yes,respect_involvement-T1,other_or_unclear-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0181,respect_involvement,,no,no,respect_involvement-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0182,digital_channel,,no,no,digital_channel-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0183,access_after_hours,,no,no,access_after_hours-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0184,respect_involvement,,no,no,respect_involvement-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0185,digital_channel,,no,no,digital_channel-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0186,respect_involvement,,no,no,respect_involvement-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0187,access_after_hours,,no,no,access_after_hours-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0188,warning_signs,access_after_hours,yes,yes,warning_signs-T2,access_after_hours-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0189,cost_barrier,,no,no,cost_barrier-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0190,cost_barrier,respect_involvement,yes,yes,cost_barrier-T3,respect_involvement-T3,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0191,medication_help,,no,no,medication_help-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0192,digital_channel,,no,no,digital_channel-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0193,other_or_unclear,respect_involvement,yes,no,other_or_unclear-T1,respect_involvement-T3,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0194,medication_help,,no,no,medication_help-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0195,access_after_hours,digital_channel,yes,no,access_after_hours-T2,digital_channel-T3,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0196,communication_clarity,,no,no,communication_clarity-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0197,other_or_unclear,,no,no,other_or_unclear-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0198,respect_involvement,,no,no,respect_involvement-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0199,respect_involvement,,no,no,respect_involvement-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0200,access_after_hours,,no,no,access_after_hours-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0201,warning_signs,,no,no,warning_signs-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0202,communication_clarity,digital_channel,yes,no,communication_clarity-T2,digital_channel-T1,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0203,respect_involvement,,no,no,respect_involvement-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0204,access_after_hours,cost_barrier,yes,yes,access_after_hours-T3,cost_barrier-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0205,medication_help,cost_barrier,yes,no,medication_help-T3,cost_barrier-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0206,medication_help,,no,no,medication_help-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0207,medication_help,,no,no,medication_help-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0208,communication_clarity,,no,no,communication_clarity-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0209,medication_help,,no,no,medication_help-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0210,respect_involvement,,no,no,respect_involvement-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0211,warning_signs,,no,no,warning_signs-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0212,warning_signs,digital_channel,yes,no,warning_signs-T3,digital_channel-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0213,cost_barrier,,no,no,cost_barrier-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0214,respect_involvement,,no,no,respect_involvement-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0215,communication_clarity,access_after_hours,yes,no,communication_clarity-T3,access_after_hours-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0216,warning_signs,,no,no,warning_signs-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0217,warning_signs,,no,no,warning_signs-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0218,medication_help,,no,no,medication_help-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0219,cost_barrier,,no,no,cost_barrier-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0220,medication_help,,no,no,medication_help-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0221,communication_clarity,,no,no,communication_clarity-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0222,access_after_hours,,no,no,access_after_hours-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0223,cost_barrier,,no,no,cost_barrier-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0224,access_after_hours,medication_help,yes,no,access_after_hours-T2,medication_help-T2,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0225,warning_signs,,no,no,warning_signs-T1,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0226,medication_help,,no,no,medication_help-T2,,fixed synthetic theme allocation and phrase templates; no observed patient text
COMMENT-0227,warning_signs,,no,no,warning_signs-T3,,fixed synthetic theme allocation and phrase templates; no observed patient text
